AT,V,AP,RH,PE
28.86,73.18,1012.46,68.8,440.1180111957676
15.56,41.1,1003.55,76.92,474.9732420182962
30.11,62.04,1010.69,47.96,457.141965193208
14.43,43.5,1021.86,83.14,477.81182544367516
26.09,60.23,1010.74,60.88,457.9933463120252
17.04,56.03,1020.38,68.69,475.1992813315559
21.11,59.39,1013.87,85.29,456.21224341582564
24.17,48.78,1018.08,75.14,452.76594366226
13.16,54.3,1017.33,82.43,480.04989254177184
24.58,56.9,1007.08,68.24,448.1895939063273
6.08,35.79,1011.08,90.59,497.07192038419237
10.12,43.72,1011.33,97.62,485.9101707772388
7.0,39.81,1017.47,87.65,497.57425468354967
14.24,45.01,1013.54,88.68,475.15696477982834
28.75,77.24,1008.92,77.17,445.2920229433511
8.36,40.22,1011.6,89.18,496.0139804266081
18.13,39.72,1002.75,58.85,467.36713657300794
13.4,41.78,1010.2,64.57,479.9745771577095
19.11,50.16,1010.88,100.09,463.8195496886372
29.72,54.2,1012.86,38.48,451.28997509189736
24.43,47.45,1007.68,65.18,459.77012840295305
15.59,45.09,1013.41,91.97,468.1546364798313
18.73,40.12,1013.19,74.12,467.2175664208667
24.88,49.16,1006.04,64.54,455.9273084522004
14.28,42.77,1020.06,81.77,477.8500062718905
26.06,67.83,1009.26,66.37,444.1474268652726
22.22,66.05,1016.15,80.58,453.97624548982736
26.96,73.68,1013.81,84.77,441.6877528644548
18.18,50.16,1010.22,99.73,461.90371460782484
26.34,68.67,1006.54,72.48,450.6245165863513
8.49,43.69,1016.93,85.63,493.8352463677291
29.56,70.4,1006.49,82.95,444.9409883819918
14.77,58.2,1018.78,83.83,474.17033450528953
23.25,63.86,1017.82,59.64,457.98156740964447
26.78,66.54,1010.14,49.01,450.3915255168593
22.7,63.56,1014.32,71.76,458.29962662060876
21.93,58.96,1014.23,58.58,465.32293925119524
16.48,48.92,1011.84,64.16,470.64711839385814
7.94,43.65,1018.75,59.45,492.0011242995608
27.53,67.83,1009.4,53.73,440.4417516549348
18.93,59.39,1013.92,68.78,461.5514395556004
5.89,35.77,1019.78,79.58,492.58266444804116
27.4,66.48,1004.71,51.5,452.011592158202
11.22,41.93,1023.13,69.35,494.99273000411455
15.99,39.63,1006.09,89.92,478.94110621607
12.45,37.92,1008.03,61.87,483.28001113747627
10.8,41.74,1020.24,78.62,491.08113770563483
18.91,43.14,1013.56,58.34,470.8179703971492
28.4,69.34,1009.76,70.4,448.430806070691
18.21,41.23,993.11,62.29,469.59888729535095
24.49,49.82,1017.09,64.02,462.1388178491218
27.28,72.58,1009.21,89.96,444.11567500507965
10.63,42.28,1008.37,92.68,486.5376965301962
23.14,58.95,1017.52,66.25,454.2508523600303
29.19,70.32,1008.28,55.42,440.5477142751661
5.89,35.77,1019.78,79.58,492.78750443922036
7.97,38.5,1013.84,72.36,498.028711721962
25.85,67.69,1007.7,70.14,446.3136721093297
27.76,44.89,1009.4,50.15,453.15056284586024
24.6,48.78,1018.1,73.71,453.68418255794677
6.81,38.56,1016.5,70.99,498.13261050105547
9.79,39.69,1002.36,93.86,485.4032400396419
26.01,58.41,1013.56,70.84,455.61590194461917
5.95,35.57,1025.84,77.61,500.3140107684822
18.34,44.63,1000.76,89.27,467.8260214489957
22.73,66.75,1018.13,84.06,449.84808132626864
20.03,47.45,1009.04,77.56,461.2806451374039
28.13,68.12,1012.6,44.71,448.90930017292396
13.61,42.34,1017.78,88.84,478.9248054980719
6.67,39.37,1020.31,73.56,499.21376078848283
11.88,40.64,1020.5,85.43,483.0571769268777
11.09,42.44,1014.18,92.81,489.9074004417592
15.62,40.89,1007.01,79.21,478.67537418374616
23.54,41.1,1002.05,38.05,459.9756814901744
19.59,59.87,1018.28,84.83,460.80806879828924
14.46,42.86,1031.34,69.84,477.90363148091103
30.17,64.79,1017.06,43.81,453.2577808125709
7.89,71.14,1018.4,86.49,486.8865950817382
24.19,68.94,1007.37,70.83,450.9241150154108
22.74,58.41,1013.92,84.03,459.00225610765574
22.63,58.96,1013.62,56.67,464.1699581582572
30.27,64.69,1006.3,53.69,447.979402622192
19.35,50.12,1005.43,100.1,460.2217948662896
20.35,68.61,1011.17,86.69,465.0319494471035
14.19,43.71,1024.38,83.03,480.01945366604116
25.53,59.57,1010.65,82.04,457.72031789974295
20.28,68.63,1012.42,70.31,468.35130055096437
30.36,69.82,1010.02,54.22,451.1358479048738
22.06,64.15,1021.07,68.66,464.2058066130398
16.64,48.92,1011.55,78.76,464.2861053690703
20.83,44.78,1008.51,35.9,471.1090630779304
26.2,65.18,1011.42,47.82,449.26288503413457
14.08,43.41,1015.59,54.15,478.8895508427042
29.71,73.18,1012.35,63.06,438.4306082042029
18.83,63.91,1010.8,96.18,461.0789534553485
11.44,40.55,1023.37,88.43,490.3122770601828
14.18,39.3,1020.1,67.48,476.70961490637285
31.3,67.17,1007.27,62.99,445.7628773681165
21.42,43.79,1015.76,43.08,475.76817023317415
11.11,37.5,1013.68,73.67,485.3416758703244
10.18,40.81,1015.79,81.42,488.0304632550198
8.84,42.49,1010.28,89.09,495.8177530629596
8.83,41.26,1023.04,86.08,491.5697160526466
13.82,40.2,1013.19,90.11,479.8850034978139
10.11,41.62,1017.17,97.82,475.15003685550784
20.76,59.04,1012.51,85.39,459.9856835650983
11.52,40.03,1017.56,87.87,482.89942884807914
23.92,73.17,1011.81,92.33,445.0856486933206
22.24,64.27,1012.97,89.54,455.63762323648115
13.83,42.86,1030.77,75.09,481.64652565293466
12.74,49.83,1007.44,91.47,479.8650373855024
15.52,36.99,1006.86,89.7,479.68954112281205
24.67,68.14,1004.96,58.15,452.41920372778407
32.18,65.74,1010.89,46.52,447.3772548858613
17.48,58.95,1016.49,90.35,461.59925262125716
22.68,70.47,1010.86,82.8,454.2951613253953
22.84,67.32,1013.77,64.67,450.33108347834917
27.02,71.25,1000.48,87.86,449.82845577451593
19.08,41.1,1001.96,62.77,471.6460791580952
25.01,66.56,1004.55,82.46,448.1541198534216
30.83,71.58,1009.92,48.8,444.95960374809016
13.31,42.18,1016.0,83.94,477.07800942900536
27.69,73.91,1005.23,75.71,447.8372166018139
5.37,40.07,1012.75,63.58,505.94181488763877
14.66,42.77,1019.37,79.79,475.3043603209728
22.51,68.63,1015.1,57.19,463.7966990260493
19.14,56.65,1020.84,82.97,470.4127739362821
9.45,41.4,1027.34,86.66,490.56154077647835
12.77,41.5,1014.13,86.8,482.8583076696421
11.72,40.55,1020.74,86.22,486.9817319378425
23.38,59.07,1009.29,92.4,456.6468969172159
25.21,51.43,1006.43,78.55,450.70253498176896
18.58,49.25,1019.92,60.24,465.73589290262635
10.95,40.81,1016.19,77.96,488.0251551330237
22.78,58.96,1013.65,57.06,464.0708424695849
27.04,73.67,1006.82,77.45,443.223654114374
13.35,41.39,1019.17,72.87,487.3664007520701
28.53,69.84,1004.46,68.03,440.2681848813031
26.15,64.27,1013.03,59.77,450.9330491961803
7.64,42.28,1008.46,84.29,498.00874022877264
31.63,68.3,1014.8,42.02,439.6123053081309
10.16,41.55,1005.69,58.04,490.2898484031079
26.71,70.72,1010.3,78.18,450.0456361330451
24.73,71.14,1009.07,68.87,448.60926455824136
15.59,52.05,1013.67,78.55,469.1954256088418
25.63,69.89,1015.17,77.42,447.33311248926367
17.95,49.21,1012.05,59.44,467.7920144454473
18.88,62.96,1020.62,82.01,468.31886604744926
32.81,77.17,1009.17,53.13,440.94321822860525
4.49,40.27,1012.01,76.5,506.6975641544067
19.89,44.9,1008.12,67.3,464.86691718505983
27.07,66.93,1017.32,55.38,460.68622659875786
28.21,70.8,1010.45,77.92,448.68165180992173
23.39,73.5,1011.37,88.48,452.83863629776033
23.13,71.25,1002.49,94.59,444.5879582246834
33.95,80.18,1010.3,56.69,446.0169129941226
24.66,63.73,1011.4,74.52,457.6502591090377
30.24,69.88,1007.9,61.46,449.72454753433686
24.14,60.07,1016.56,58.08,452.91069809941393
18.64,67.71,1003.84,89.63,454.5553893294429
28.67,69.14,1008.24,72.68,446.7123520569777
30.98,67.45,1015.18,45.4,446.1072951931263
26.05,65.38,1009.43,52.1,461.59735839487615
13.52,39.39,1012.91,84.03,487.4248154414828
33.33,73.03,1014.2,42.28,444.6898473806202
26.19,65.61,1014.51,54.52,455.9191552659653
24.77,57.17,1010.66,73.0,453.0981134033036
31.54,72.58,1007.61,65.57,439.0838475949482
9.39,41.79,1021.6,50.09,485.4832349374642
13.78,42.03,1017.51,84.94,480.2577282595252
34.11,73.56,1006.77,45.92,445.27007523326006
10.8,39.58,1011.99,87.54,489.694507138108
19.78,44.71,1015.7,29.43,477.5506252893575
8.94,36.71,1025.5,80.45,488.67956858370934
23.23,64.69,1008.12,76.6,455.8299479440522
16.39,58.59,1014.58,90.34,466.6502799130596
27.23,44.05,1005.69,58.91,453.901973853925
11.04,39.96,1025.75,94.44,479.67098036560895
21.06,50.59,1016.42,66.12,465.8990798074258
21.79,46.21,1012.89,72.0,462.40430577626546
9.43,43.69,1017.28,91.8,489.49866748920084
26.08,76.86,1003.3,79.49,446.1754719099324
26.31,52.09,1013.39,53.59,460.9100733152951
25.76,74.87,1010.18,65.15,458.0627077601511
28.57,51.43,1012.02,47.79,461.76819649542284
11.16,40.05,1014.95,88.38,491.78058342281133
10.06,39.61,1020.69,69.49,491.2367965773478
5.3,35.19,1019.33,93.86,496.8796401109016
18.13,39.72,1002.75,58.85,468.0324267669343
22.11,59.8,1016.74,73.9,465.49967150799483
22.33,59.8,1016.84,67.09,464.42472038407516
21.73,61.45,1010.27,91.59,455.78713379203583
11.09,41.58,1020.99,91.09,477.2049220793634
24.75,69.45,1013.97,53.49,450.65359535883806
10.39,40.22,1006.59,87.77,491.1770622213518
4.65,35.19,1018.23,94.78,501.82303039148286
22.91,68.63,1014.92,55.82,459.88673232676626
17.99,43.72,1008.64,75.04,463.72597167117755
22.1,58.33,1013.71,69.09,453.1858821779997
20.41,50.32,1008.45,93.12,459.9071888158204
28.88,71.98,1005.37,74.24,440.6252031172177
28.1,61.02,1011.28,59.05,450.70052917193044
19.1,43.79,1016.02,77.34,475.93296078502516
29.58,66.51,1015.57,32.95,447.3134501781084
7.68,38.06,1020.92,83.87,496.57567400971664
15.33,52.05,1014.15,80.56,463.3795112296356
10.88,44.63,1020.52,86.81,483.17408420594256
20.58,54.5,1015.04,89.83,480.5031188687503
23.28,72.24,1011.3,90.5,445.6123647167455
26.69,59.21,1012.55,57.59,448.54858535080007
10.04,41.62,1013.36,95.17,476.79997329169305
29.1,76.2,1006.28,60.22,448.24098649014985
24.66,60.29,1018.0,59.56,456.0267041992148
25.5,59.27,1012.92,68.88,454.75003686882485
15.16,40.73,1017.7,86.37,472.04976728920684
13.75,44.47,1029.63,70.74,479.8664176872386
33.76,68.51,1011.33,38.35,440.7329999463334
15.47,38.73,1001.13,77.61,479.2585722254991
12.82,38.62,1018.71,83.8,479.8518033560317
20.96,69.48,1011.04,82.63,456.11913780786386
15.21,52.75,1024.32,61.11,471.0145846042605
19.66,59.87,1018.75,87.6,459.3083702759026
30.7,74.22,1008.12,50.39,445.2601820482309
25.67,58.59,1013.0,62.34,462.8172249876947
31.53,74.99,1003.93,58.29,443.34488966421134
27.63,70.17,1000.42,85.22,445.45821711758936
21.04,74.87,1009.09,88.25,457.2366463316428
29.14,75.23,1010.15,54.87,446.4164357358122
28.62,70.32,1008.87,46.67,443.87325098889886
22.83,70.79,1006.36,92.07,452.34214464147004
25.21,64.63,1020.56,51.31,458.9687354765741
9.37,38.56,1016.84,62.07,494.39690221427065
30.85,68.94,1007.31,68.99,437.8413052204706
27.2,65.18,1011.47,47.14,449.1770481171485
4.47,35.19,1018.78,92.68,501.04286796628327
21.96,48.6,1004.87,76.27,457.723079040426
9.61,44.03,1008.3,91.36,485.0021756372889
23.24,68.31,1009.71,80.8,454.46530703867836
14.46,42.86,1031.34,69.84,475.82171910325263
9.42,39.64,1010.86,74.03,489.64462217761667
23.15,69.48,1011.07,85.83,448.50460880949083
13.44,40.69,1014.54,77.97,485.3585463544088
9.0,39.18,1024.38,84.91,494.23233618284416
20.77,51.3,1013.89,88.72,462.3351817114711
20.3,58.46,1015.93,82.13,460.09593903991805
5.41,45.87,1008.47,97.51,492.41087870012046
16.77,38.01,1023.04,65.5,473.30015457459024
18.8,47.83,1005.86,76.77,466.7858223522453
24.56,63.21,1013.79,82.38,456.2506368960912
20.15,39.72,1001.85,59.32,468.51417375939974
16.66,41.16,1007.37,76.82,475.4836557515976
20.84,65.06,1016.88,71.93,456.69098776175855
24.82,72.99,1007.81,84.72,447.86046145158315
21.92,61.87,1009.68,58.83,457.84152863988686
29.3,68.08,1011.23,56.23,447.40720983950837
28.28,61.47,1009.44,60.89,455.83682578257867
28.74,70.32,1008.15,45.99,445.7499613298735
17.37,57.76,1016.0,86.59,468.0466889964222
11.06,40.64,1021.47,96.16,490.1543076117426
25.03,47.93,1003.02,62.89,454.5861994555812
17.74,49.78,1004.9,100.09,463.6599272006684
11.43,41.16,1022.81,92.04,479.775081274748
20.26,51.19,1008.9,93.47,458.8419299138303
27.78,77.17,1009.11,86.54,444.99984725240927
31.58,66.54,1003.26,54.0,442.51940121234014
21.69,57.17,1011.75,82.63,461.0001646608941
23.49,73.18,1012.4,90.05,449.6355768063414
10.76,44.58,1016.41,79.24,497.3098642833789
25.88,71.73,1010.01,72.8,443.16255985231817
27.04,65.06,1013.33,52.37,450.6916032158016
13.44,42.34,1018.0,96.65,472.13074347398214
19.77,54.42,1011.73,89.26,470.35714278160077
29.22,75.23,1010.49,48.73,451.86030808640885
23.73,59.15,1014.08,62.65,456.3778793003862
22.12,60.37,1008.75,92.13,451.46824564496416
24.22,68.51,1013.23,74.96,452.0892065095095
10.2,41.62,1016.52,98.09,475.60563850035896
17.82,56.89,1014.24,77.73,466.8827726419751
24.45,70.02,1010.75,71.37,457.99146568761716
14.36,40.0,1016.16,68.79,472.39440087936447
11.48,41.2,1012.88,90.04,490.1257003993986
9.04,44.68,1023.14,90.73,490.6706115871635
27.72,69.88,1007.58,72.25,444.004544597182
15.5,49.25,1021.41,77.92,465.26808244355135
27.23,71.77,1006.59,77.94,437.2924719236158
24.62,70.47,1010.55,72.71,448.6846207354853
13.42,42.86,1013.88,85.13,485.5161128316063
29.1,73.4,1011.35,57.31,448.94350664142974
23.59,59.43,1009.96,65.8,452.9284546800765
31.28,69.51,1010.09,36.85,443.35413265917765
5.33,39.33,1009.61,94.97,503.1331655377388
22.35,63.47,1013.21,82.52,451.62082868051834
24.96,60.84,1018.13,59.51,454.78749915135535
14.35,46.18,1016.63,87.76,473.6366013522126
18.83,63.91,1010.8,96.18,458.63951803890495
17.34,47.03,1013.36,98.13,474.2132438508229
24.22,62.08,1022.53,60.79,463.5604794114387
5.18,41.31,1000.59,92.14,497.3581230182747
23.85,52.3,1005.9,70.95,453.2750359229928
14.46,45.87,1009.21,84.09,476.04859982057036
28.59,68.08,1013.2,42.96,448.27338141359496
25.35,72.99,1007.65,84.09,447.9366483723599
25.06,44.57,1007.39,56.07,454.57648492222137
12.15,71.14,1019.56,86.06,474.9543639428569
26.27,71.98,1005.72,86.15,440.34351926475404
10.44,37.83,1006.31,97.2,487.7459641038307
30.7,71.58,1010.0,48.96,443.04769678810885
23.19,60.75,1008.33,82.0,450.38427690324966
22.49,58.82,1009.73,85.19,456.22838437441226
7.99,41.38,1021.95,78.77,502.0924456482159
27.32,66.54,1004.95,72.58,444.03538433945397
30.61,67.69,1004.97,47.46,442.35553769442436
11.26,39.35,1015.47,99.28,482.24167375990027
28.92,72.43,1007.03,66.14,442.2543825546464
30.59,70.04,1010.28,50.56,441.51311034122085
16.19,36.99,1007.37,92.4,474.74219241806367
28.23,62.26,1010.88,60.86,449.15790225099516
28.74,70.32,1008.15,45.99,443.03076606969046
17.12,48.6,1007.38,79.15,465.9557178886
18.83,48.98,1016.33,74.23,463.80917438695985
16.31,68.28,1003.98,98.62,462.95412135379166
11.76,39.28,1016.9,91.06,489.0982784408102
30.68,73.67,1005.63,57.05,442.9801660772473
17.9,58.33,1013.6,85.81,464.7597694638209
10.95,43.8,1022.61,63.46,485.3807253862881
11.06,36.71,1021.67,80.44,485.5628096651538
25.88,69.13,1002.44,85.67,439.77589684158943
7.67,41.66,1016.25,77.0,497.2192632589813
23.0,60.27,1018.72,84.25,453.8535688169581
13.72,45.01,1014.07,77.0,476.78141497263414
27.36,66.54,1011.31,45.3,450.15797914218035
13.35,41.44,1015.9,66.04,486.4275139221058
9.66,40.05,1015.78,89.06,494.07342436771074
22.97,42.48,1012.84,64.71,476.8151733420758
35.77,73.56,1006.36,36.31,443.54210432074217
6.92,43.13,1018.26,89.23,498.839062040884
15.33,52.05,1014.15,80.56,463.8855806793738
9.13,39.16,1014.14,86.17,496.5182308825257
23.66,69.51,1012.9,52.59,447.27974879015335
26.8,58.84,1001.2,65.03,459.2603797635584
26.21,56.85,1011.45,41.37,450.97486813044446
27.46,67.69,1004.7,70.15,445.7972983156066
30.69,73.67,1006.14,60.58,443.51124064805015
25.95,65.61,1014.36,52.54,458.4015203147385
26.65,63.78,1015.32,53.95,450.7884182588217
26.05,65.59,1012.78,67.03,448.8429661515078
25.93,69.34,1008.91,79.43,447.44134624161836
8.83,36.3,1027.08,72.69,491.27296333880463
26.71,77.95,1012.13,77.5,445.32492860995455
11.73,37.92,1008.02,72.68,485.66529753573127
27.41,74.67,1016.57,80.16,440.8243920002842
14.66,40.73,1017.45,88.57,473.7459972500261
24.32,58.79,1016.8,65.61,455.95233231055397
30.64,74.87,1009.44,59.01,450.1042409125478
10.97,40.6,1015.0,87.59,490.0282311333297
28.43,63.31,1013.44,49.99,445.3916363352832
24.38,63.91,1009.53,79.11,458.01250542501333
